id,symbol,price_usd,vol_24h_btc,vol_24h_usd,mkt_cap_btc,mkt_cap_usd,collected_at,updated_at
486,zec,127.586485673636000000000000000000,4582.854800682610000000000000000000,287065553.175117600000000000000000000000,23745.149713720300000000000000000000,1487373009.675062700000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
684,qtum,12.924479877973100000000000000000,4234.943289505250000000000000000000,265272715.575889230000000000000000000000,21474.327318328000000000000000000000,1345130910.492989300000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
692,miota,1.316196870028160000000000000000,1069.687040259020000000000000000000,67004152.496926620000000000000000000000,58640.588529988400000000000000000000,3673189249.279340300000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
738,eos,4.742896581435540000000000000000,21932.427576879700000000000000000000,1373825863.715426400000000000000000000000,73604.246313417600000000000000000000,4610498172.635027000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
776,omg,14.316839067772700000000000000000,12639.726720774400000000000000000000,791740149.074975800000000000000000000000,32296.168076021000000000000000000000,2023000456.571004900000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
780,bch,634.736200786748000000000000000000,140408.710116547000000000000000000000,8795064603.444931000000000000000000000000,191281.006516234000000000000000000000,11981655613.286545000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
825,bnb,477.317657940547000000000000000000,44269.625820542800000000000000000000,2773006167.059167400000000000000000000000,1286930.216016960000000000000000000000,80612053059.951980000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
877,link,27.390000566461500000000000000000,19813.345792245000000000000000000000,1241088648.336299000000000000000000000000,201719.303636059000000000000000000000,12635500360.116070000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
975,ada,2.242555190813450000000000000000,43126.225347384900000000000000000000,2701384677.048426600000000000000000000000,1151766.856490560000000000000000000000,72145552099.530100000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
976,xtz,6.947147800868740000000000000000,5269.344237435750000000000000000000,330066581.678368900000000000000000000000,96335.262120217800000000000000000000,6034346823.881736000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
1043,btg,73.430189694931100000000000000000,433.079824839212000000000000000000,27127697.667387100000000000000000000000,20797.592684209900000000000000000000,1302740913.308933500000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
1060,icx,2.039239547150500000000000000000,733.451166687506000000000000000000,45942665.445286060000000000000000000000,21974.283349115100000000000000000000,1376447668.449134600000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
1094,trx,0.100679859517453000000000000000,24839.382556575200000000000000000000,1555914687.296997300000000000000000000000,115382.461747317000000000000000000000,7227444823.970175000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
1102,enj,1.630122441515190000000000000000,1673.044786146320000000000000000000,104797892.996807040000000000000000000000,24330.320157385500000000000000000000,1524027515.309292800000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
1167,vet,0.123720885022350000000000000000,11041.248988384900000000000000000000,691613063.569637100000000000000000000000,132201.811279158000000000000000000000,8280992467.828416000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
